PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
1,0,3,"braund, mr. owen harris",0,22.0,1,0,A/5 21171,7.25,,0
3,1,3,"heikkinen, miss. laina",1,26.0,0,0,STON/O2. 3101282,7.92,,0
4,1,1,"futrelle, mrs. jacques heath (lily may peel)",1,35.0,1,0,113803,53.1,C123,0
5,0,3,"allen, mr. william henry",0,35.0,0,0,373450,8.05,,0
7,0,1,"mccarthy, mr. timothy j",0,54.0,0,0,17463,51.86,E46,0
8,0,3,"palsson, master. gosta leonard",0,2.0,3,1,349909,21.08,,0
9,1,3,"johnson, mrs. oscar w (elisabeth vilhelmina berg)",1,27.0,0,2,347742,11.13,,0
10,1,2,"nasser, mrs. nicholas (adele achem)",1,14.0,1,0,237736,30.07,,1
11,1,3,"sandstrom, miss. marguerite rut",1,4.0,1,1,PP 9549,16.7,G6,0
12,1,1,"bonnell, miss. elizabeth",1,58.0,0,0,113783,26.55,C103,0
13,0,3,"saundercock, mr. william henry",0,20.0,0,0,A/5. 2151,8.05,,0
14,0,3,"andersson, mr. anders johan",0,39.0,1,5,347082,31.28,,0
15,0,3,"vestrom, miss. hulda amanda adolfina",1,14.0,0,0,350406,7.85,,0
16,1,2,"hewlett, mrs. (mary d kingcome)",1,55.0,0,0,248706,16.0,,0
17,0,3,"rice, master. eugene",0,2.0,4,1,382652,29.12,,2
19,0,3,"vander planke, mrs. julius (emelia maria vandemoortele)",1,31.0,1,0,345763,18.0,,0
21,0,2,"fynney, mr. joseph j",0,35.0,0,0,239865,26.0,,0
22,1,2,"beesley, mr. lawrence",0,34.0,0,0,248698,13.0,D56,0
23,1,3,"mcgowan, miss. anna ""annie""",1,15.0,0,0,330923,8.03,,2
24,1,1,"sloper, mr. william thompson",0,28.0,0,0,113788,35.5,A6,0
25,0,3,"palsson, miss. torborg danira",1,8.0,3,1,349909,21.08,,0
26,1,3,"asplund, mrs. carl oscar (selma augusta emilia johansson)",1,38.0,1,5,347077,31.39,,0
31,0,1,"uruchurtu, don. manuel e",0,40.0,0,0,PC 17601,27.72,,1
36,0,1,"holverson, mr. alexander oskar",0,42.0,1,0,113789,52.0,,0
38,0,3,"cann, mr. ernest charles",0,21.0,0,0,A./5. 2152,8.05,,0
39,0,3,"vander planke, miss. augusta maria",1,18.0,2,0,345764,18.0,,0
40,1,3,"nicola-yarred, miss. jamila",1,14.0,1,0,2651,11.24,,1
41,0,3,"ahlin, mrs. johan (johanna persdotter larsson)",1,40.0,1,0,7546,9.48,,0
42,0,2,"turpin, mrs. william john robert (dorothy ann wonnacott)",1,27.0,1,0,11668,21.0,,0
44,1,2,"laroche, miss. simonne marie anne andree",1,3.0,1,2,SC/Paris 2123,41.58,,1
45,1,3,"devaney, miss. margaret delia",1,19.0,0,0,330958,7.88,,2
50,0,3,"arnold-franchi, mrs. josef (josefine franchi)",1,18.0,1,0,349237,17.8,,0
51,0,3,"panula, master. juha niilo",0,7.0,4,1,3101295,39.69,,0
52,0,3,"nosworthy, mr. richard cater",0,21.0,0,0,A/4. 39886,7.8,,0
54,1,2,"faunthorpe, mrs. lizzie (elizabeth anne wilkinson)",1,29.0,1,0,2926,26.0,,0
57,1,2,"rugg, miss. emily",1,21.0,0,0,C.A. 31026,10.5,,0
58,0,3,"novel, mr. mansouer",0,28.5,0,0,2697,7.23,,1
